DATE,RATE
7/20/2015,2.38
7/21/2015,2.35
7/22/2015,2.33
7/23/2015,2.28
7/24/2015,2.27
7/27/2015,2.23
7/28/2015,2.26
7/29/2015,2.29
7/30/2015,2.28
7/31/2015,2.2
8/3/2015,2.16
8/4/2015,2.23
8/5/2015,2.28
8/6/2015,2.23
8/7/2015,2.18
8/10/2015,2.24
8/11/2015,2.15
8/12/2015,2.14
8/13/2015,2.19
8/14/2015,2.2
8/17/2015,2.16
8/18/2015,2.2
8/19/2015,2.12
8/20/2015,2.09
8/21/2015,2.05
8/24/2015,2.01
8/25/2015,2.12
8/26/2015,2.18
8/27/2015,2.18
8/28/2015,2.19
8/31/2015,2.21
9/1/2015,2.17
9/2/2015,2.2
9/3/2015,2.18
9/4/2015,2.13
9/7/2015,.
9/8/2015,2.2
9/9/2015,2.21
9/10/2015,2.23
9/11/2015,2.2
9/14/2015,2.18
9/15/2015,2.28
9/16/2015,2.3
9/17/2015,2.21
9/18/2015,2.13
9/21/2015,2.2
9/22/2015,2.14
9/23/2015,2.16
9/24/2015,2.13
9/25/2015,2.17
9/28/2015,2.1
9/29/2015,2.05
9/30/2015,2.06
10/1/2015,2.05
10/2/2015,1.99
10/5/2015,2.07
10/6/2015,2.05
10/7/2015,2.08
10/8/2015,2.12
10/9/2015,2.12
10/12/2015,.
10/13/2015,2.06
10/14/2015,1.99
10/15/2015,2.04
10/16/2015,2.04
10/19/2015,2.04
10/20/2015,2.08
10/21/2015,2.04
10/22/2015,2.04
10/23/2015,2.09
10/26/2015,2.07
10/27/2015,2.05
10/28/2015,2.1
10/29/2015,2.19
10/30/2015,2.16
11/2/2015,2.2
11/3/2015,2.23
11/4/2015,2.25
11/5/2015,2.26
11/6/2015,2.34
11/9/2015,2.36
11/10/2015,2.32
11/11/2015,.
11/12/2015,2.32
11/13/2015,2.28
11/16/2015,2.27
11/17/2015,2.25
11/18/2015,2.27
11/19/2015,2.24
11/20/2015,2.26
11/23/2015,2.25
11/24/2015,2.24
11/25/2015,2.23
11/26/2015,.
11/27/2015,2.22
11/30/2015,2.21
12/1/2015,2.15
12/2/2015,2.18
12/3/2015,2.33
12/4/2015,2.28
12/7/2015,2.23
12/8/2015,2.24
12/9/2015,2.22
12/10/2015,2.24
12/11/2015,2.13
12/14/2015,2.23
12/15/2015,2.28
12/16/2015,2.3
12/17/2015,2.24
12/18/2015,2.19
12/21/2015,2.2
12/22/2015,2.24
12/23/2015,2.27
12/24/2015,2.25
12/25/2015,.
12/28/2015,2.24
12/29/2015,2.32
12/30/2015,2.31
12/31/2015,2.27
1/1/2016,.
1/4/2016,2.24
1/5/2016,2.25
1/6/2016,2.18
1/7/2016,2.16
1/8/2016,2.13
1/11/2016,2.17
1/12/2016,2.12
1/13/2016,2.08
1/14/2016,2.1
1/15/2016,2.03
1/18/2016,.
1/19/2016,2.06
1/20/2016,2.01
1/21/2016,2.02
1/22/2016,2.07
1/25/2016,2.03
1/26/2016,2.01
1/27/2016,2.02
1/28/2016,2
1/29/2016,1.94
2/1/2016,1.97
2/2/2016,1.87
2/3/2016,1.88
2/4/2016,1.87
2/5/2016,1.86
2/8/2016,1.75
2/9/2016,1.74
2/10/2016,1.71
2/11/2016,1.63
2/12/2016,1.74
2/15/2016,.
2/16/2016,1.78
2/17/2016,1.81
2/18/2016,1.75
2/19/2016,1.76
2/22/2016,1.77
2/23/2016,1.74
2/24/2016,1.75
2/25/2016,1.71
2/26/2016,1.76
2/29/2016,1.74
3/1/2016,1.83
3/2/2016,1.84
3/3/2016,1.83
3/4/2016,1.88
3/7/2016,1.91
3/8/2016,1.83
3/9/2016,1.9
3/10/2016,1.93
3/11/2016,1.98
3/14/2016,1.97
3/15/2016,1.97
3/16/2016,1.94
3/17/2016,1.91
3/18/2016,1.88
3/21/2016,1.92
3/22/2016,1.94
3/23/2016,1.88
3/24/2016,1.91
3/25/2016,.
3/28/2016,1.89
3/29/2016,1.81
3/30/2016,1.83
3/31/2016,1.78
4/1/2016,1.79
4/4/2016,1.78
4/5/2016,1.73
4/6/2016,1.76
4/7/2016,1.7
4/8/2016,1.72
4/11/2016,1.73
4/12/2016,1.79
4/13/2016,1.77
4/14/2016,1.8
4/15/2016,1.76
4/18/2016,1.78
4/19/2016,1.79
4/20/2016,1.85
4/21/2016,1.88
4/22/2016,1.89
4/25/2016,1.91
4/26/2016,1.94
4/27/2016,1.87
4/28/2016,1.84
4/29/2016,1.83
5/2/2016,1.88
5/3/2016,1.81
5/4/2016,1.79
5/5/2016,1.76
5/6/2016,1.79
5/9/2016,1.77
5/10/2016,1.77
5/11/2016,1.73
5/12/2016,1.75
5/13/2016,1.71
5/16/2016,1.75
5/17/2016,1.76
5/18/2016,1.87
5/19/2016,1.85
5/20/2016,1.85
5/23/2016,1.84
5/24/2016,1.86
5/25/2016,1.87
5/26/2016,1.83
5/27/2016,1.85
5/30/2016,.
5/31/2016,1.84
6/1/2016,1.85
6/2/2016,1.81
6/3/2016,1.71
6/6/2016,1.73
6/7/2016,1.72
6/8/2016,1.71
6/9/2016,1.68
6/10/2016,1.64
6/13/2016,1.62
6/14/2016,1.62
6/15/2016,1.6
6/16/2016,1.57
6/17/2016,1.62
6/20/2016,1.67
6/21/2016,1.71
6/22/2016,1.69
6/23/2016,1.74
6/24/2016,1.57
6/27/2016,1.46
6/28/2016,1.46
6/29/2016,1.5
6/30/2016,1.49
7/1/2016,1.46
7/4/2016,.
7/5/2016,1.37
7/6/2016,1.38
7/7/2016,1.4
7/8/2016,1.37
7/11/2016,1.43
7/12/2016,1.53
7/13/2016,1.48
7/14/2016,1.53
7/15/2016,1.6
7/18/2016,1.59
7/19/2016,1.56
7/20/2016,1.59
7/21/2016,1.57
7/22/2016,1.57
7/25/2016,1.58
7/26/2016,1.57
7/27/2016,1.52
7/28/2016,1.52
7/29/2016,1.46
8/1/2016,1.51
8/2/2016,1.55
8/3/2016,1.55
8/4/2016,1.51
8/5/2016,1.59
8/8/2016,1.59
8/9/2016,1.55
8/10/2016,1.5
8/11/2016,1.57
8/12/2016,1.51
8/15/2016,1.55
8/16/2016,1.57
8/17/2016,1.56
8/18/2016,1.53
8/19/2016,1.58
8/22/2016,1.55
8/23/2016,1.55
8/24/2016,1.56
8/25/2016,1.58
8/26/2016,1.62
8/29/2016,1.57
8/30/2016,1.57
8/31/2016,1.58
9/1/2016,1.57
9/2/2016,1.6
9/5/2016,.
9/6/2016,1.55
9/7/2016,1.54
9/8/2016,1.61
9/9/2016,1.67
9/12/2016,1.68
9/13/2016,1.73
9/14/2016,1.7
9/15/2016,1.71
9/16/2016,1.7
9/19/2016,1.7
9/20/2016,1.69
9/21/2016,1.66
9/22/2016,1.63
9/23/2016,1.62
9/26/2016,1.59
9/27/2016,1.56
9/28/2016,1.57
9/29/2016,1.56
9/30/2016,1.6
10/3/2016,1.63
10/4/2016,1.69
10/5/2016,1.72
10/6/2016,1.75
10/7/2016,1.73
10/10/2016,.
10/11/2016,1.77
10/12/2016,1.79
10/13/2016,1.75
10/14/2016,1.8
10/17/2016,1.77
10/18/2016,1.75
10/19/2016,1.76
10/20/2016,1.76
10/21/2016,1.74
10/24/2016,1.77
10/25/2016,1.77
10/26/2016,1.79
10/27/2016,1.85
10/28/2016,1.86
10/31/2016,1.84
11/1/2016,1.83
11/2/2016,1.81
11/3/2016,1.82
11/4/2016,1.79
11/7/2016,1.83
11/8/2016,1.88
11/9/2016,2.07
11/10/2016,2.15
11/11/2016,.
11/14/2016,2.23
11/15/2016,2.23
11/16/2016,2.22
11/17/2016,2.29
11/18/2016,2.34
11/21/2016,2.33
11/22/2016,2.31
11/23/2016,2.36
11/24/2016,.
11/25/2016,2.36
11/28/2016,2.32
11/29/2016,2.3
11/30/2016,2.37
12/1/2016,2.45
12/2/2016,2.4
12/5/2016,2.39
12/6/2016,2.39
12/7/2016,2.34
12/8/2016,2.4
12/9/2016,2.47
12/12/2016,2.49
12/13/2016,2.48
12/14/2016,2.54
12/15/2016,2.6
12/16/2016,2.6
12/19/2016,2.54
12/20/2016,2.57
12/21/2016,2.55
12/22/2016,2.55
12/23/2016,2.55
12/26/2016,.
12/27/2016,2.57
12/28/2016,2.51
12/29/2016,2.49
12/30/2016,2.45
1/2/2017,.
1/3/2017,2.45
1/4/2017,2.46
1/5/2017,2.37
1/6/2017,2.42
1/9/2017,2.38
1/10/2017,2.38
1/11/2017,2.38
1/12/2017,2.36
1/13/2017,2.4
1/16/2017,.
1/17/2017,2.33
1/18/2017,2.42
1/19/2017,2.47
1/20/2017,2.48
1/23/2017,2.41
1/24/2017,2.47
1/25/2017,2.53
1/26/2017,2.51
1/27/2017,2.49
1/30/2017,2.49
1/31/2017,2.45
2/1/2017,2.48
2/2/2017,2.48
2/3/2017,2.49
2/6/2017,2.42
2/7/2017,2.4
2/8/2017,2.34
2/9/2017,2.4
2/10/2017,2.41
2/13/2017,2.43
2/14/2017,2.47
2/15/2017,2.51
2/16/2017,2.45
2/17/2017,2.42
2/20/2017,.
2/21/2017,2.43
2/22/2017,2.42
2/23/2017,2.38
2/24/2017,2.31
2/27/2017,2.36
2/28/2017,2.36
3/1/2017,2.46
3/2/2017,2.49
3/3/2017,2.49
3/6/2017,2.49
3/7/2017,2.52
3/8/2017,2.57
3/9/2017,2.6
3/10/2017,2.58
3/13/2017,2.62
3/14/2017,2.6
3/15/2017,2.51
3/16/2017,2.53
3/17/2017,2.5
3/20/2017,2.47
3/21/2017,2.43
3/22/2017,2.4
3/23/2017,2.41
3/24/2017,2.4
3/27/2017,2.38
3/28/2017,2.42
3/29/2017,2.39
3/30/2017,2.42
3/31/2017,2.4
4/3/2017,2.35
4/4/2017,2.36
4/5/2017,2.34
4/6/2017,2.34
4/7/2017,2.38
4/10/2017,2.37
4/11/2017,2.32
4/12/2017,2.28
4/13/2017,2.24
4/14/2017,.
4/17/2017,2.26
4/18/2017,2.18
4/19/2017,2.21
4/20/2017,2.24
4/21/2017,2.24
4/24/2017,2.28
4/25/2017,2.35
4/26/2017,2.32
4/27/2017,2.3
4/28/2017,2.29
5/1/2017,2.33
5/2/2017,2.29
5/3/2017,2.33
5/4/2017,2.36
5/5/2017,2.36
5/8/2017,2.39
5/9/2017,2.42
5/10/2017,2.41
5/11/2017,2.39
5/12/2017,2.33
5/15/2017,2.34
5/16/2017,2.33
5/17/2017,2.22
5/18/2017,2.23
5/19/2017,2.23
5/22/2017,2.25
5/23/2017,2.29
5/24/2017,2.26
5/25/2017,2.25
5/26/2017,2.25
5/29/2017,.
5/30/2017,2.21
5/31/2017,2.21
6/1/2017,2.21
6/2/2017,2.15
6/5/2017,2.18
6/6/2017,2.14
6/7/2017,2.18
6/8/2017,2.19
6/9/2017,2.21
6/12/2017,2.21
6/13/2017,2.21
6/14/2017,2.15
6/15/2017,2.16
6/16/2017,2.16
6/19/2017,2.19
6/20/2017,2.16
6/21/2017,2.16
6/22/2017,2.15
6/23/2017,2.15
6/26/2017,2.14
6/27/2017,2.21
6/28/2017,2.22
6/29/2017,2.27
6/30/2017,2.31
7/3/2017,2.35
7/4/2017,.
7/5/2017,2.33
7/6/2017,2.37
7/7/2017,2.39
7/10/2017,2.38
7/11/2017,2.37
7/12/2017,2.33
7/13/2017,2.35
7/14/2017,2.33
7/17/2017,2.31
7/18/2017,2.27
7/19/2017,2.27
7/20/2017,2.27
7/21/2017,2.24
7/24/2017,2.26
7/25/2017,2.33
7/26/2017,2.29
7/27/2017,2.32
7/28/2017,2.3
7/31/2017,2.3
8/1/2017,2.26
8/2/2017,2.27
8/3/2017,2.24
8/4/2017,2.27
8/7/2017,2.26
8/8/2017,2.29
8/9/2017,2.24
8/10/2017,2.2
8/11/2017,2.19
8/14/2017,2.22
8/15/2017,2.27
8/16/2017,2.23
8/17/2017,2.19
8/18/2017,2.19
8/21/2017,2.18
8/22/2017,2.22
8/23/2017,2.17
8/24/2017,2.19
8/25/2017,2.17
8/28/2017,2.16
8/29/2017,2.13
8/30/2017,2.15
8/31/2017,2.12
9/1/2017,2.16
9/4/2017,.
9/5/2017,2.07
9/6/2017,2.1
9/7/2017,2.05
9/8/2017,2.06
9/11/2017,2.14
9/12/2017,2.17
9/13/2017,2.2
9/14/2017,2.2
9/15/2017,2.2
9/18/2017,2.23
9/19/2017,2.24
9/20/2017,2.28
9/21/2017,2.27
9/22/2017,2.26
9/25/2017,2.22
9/26/2017,2.24
9/27/2017,2.31
9/28/2017,2.31
9/29/2017,2.33
10/2/2017,2.34
10/3/2017,2.33
10/4/2017,2.33
10/5/2017,2.35
10/6/2017,2.37
10/9/2017,.
10/10/2017,2.35
10/11/2017,2.35
10/12/2017,2.33
10/13/2017,2.28
10/16/2017,2.3
10/17/2017,2.3
10/18/2017,2.34
10/19/2017,2.33
10/20/2017,2.39
10/23/2017,2.38
10/24/2017,2.42
10/25/2017,2.44
10/26/2017,2.46
10/27/2017,2.42
10/30/2017,2.37
10/31/2017,2.38
11/1/2017,2.37
11/2/2017,2.35
11/3/2017,2.34
11/6/2017,2.32
11/7/2017,2.32
11/8/2017,2.32
11/9/2017,2.33
11/10/2017,2.4
11/13/2017,2.4
11/14/2017,2.38
11/15/2017,2.33
11/16/2017,2.37
11/17/2017,2.35
11/20/2017,2.37
11/21/2017,2.36
11/22/2017,2.32
11/23/2017,.
11/24/2017,2.34
11/27/2017,2.32
11/28/2017,2.34
11/29/2017,2.37
11/30/2017,2.42
12/1/2017,2.37
12/4/2017,2.37
12/5/2017,2.36
12/6/2017,2.33
12/7/2017,2.37
12/8/2017,2.38
12/11/2017,2.39
12/12/2017,2.4
12/13/2017,2.36
12/14/2017,2.35
12/15/2017,2.35
12/18/2017,2.39
12/19/2017,2.46
12/20/2017,2.49
12/21/2017,2.48
12/22/2017,2.48
12/25/2017,.
12/26/2017,2.47
12/27/2017,2.42
12/28/2017,2.43
12/29/2017,2.4
1/1/2018,.
1/2/2018,2.46
1/3/2018,2.44
1/4/2018,2.46
1/5/2018,2.47
1/8/2018,2.49
1/9/2018,2.55
1/10/2018,2.55
1/11/2018,2.54
1/12/2018,2.55
1/15/2018,.
1/16/2018,2.54
1/17/2018,2.57
1/18/2018,2.62
1/19/2018,2.64
1/22/2018,2.66
1/23/2018,2.63
1/24/2018,2.65
1/25/2018,2.63
1/26/2018,2.66
1/29/2018,2.7
1/30/2018,2.73
1/31/2018,2.72
2/1/2018,2.78
2/2/2018,2.84
2/5/2018,2.77
2/6/2018,2.79
2/7/2018,2.84
2/8/2018,2.85
2/9/2018,2.83
2/12/2018,2.86
2/13/2018,2.83
2/14/2018,2.91
2/15/2018,2.9
2/16/2018,2.87
2/19/2018,.
2/20/2018,2.88
2/21/2018,2.94
2/22/2018,2.92
2/23/2018,2.88
2/26/2018,2.86
2/27/2018,2.9
2/28/2018,2.87
3/1/2018,2.81
3/2/2018,2.86
3/5/2018,2.88
3/6/2018,2.88
3/7/2018,2.89
3/8/2018,2.86
3/9/2018,2.9
3/12/2018,2.87
3/13/2018,2.84
3/14/2018,2.81
3/15/2018,2.82
3/16/2018,2.85
3/19/2018,2.85
3/20/2018,2.89
3/21/2018,2.89
3/22/2018,2.83
3/23/2018,2.82
3/26/2018,2.85
3/27/2018,2.78
3/28/2018,2.77
3/29/2018,2.74
3/30/2018,.
4/2/2018,2.73
4/3/2018,2.79
4/4/2018,2.79
4/5/2018,2.83
4/6/2018,2.77
4/9/2018,2.78
4/10/2018,2.8
4/11/2018,2.79
4/12/2018,2.83
4/13/2018,2.82
4/16/2018,2.83
4/17/2018,2.82
4/18/2018,2.87
4/19/2018,2.92
4/20/2018,2.96
4/23/2018,2.98
4/24/2018,3
4/25/2018,3.03
4/26/2018,3
4/27/2018,2.96
4/30/2018,2.95
5/1/2018,2.97
5/2/2018,2.97
5/3/2018,2.94
5/4/2018,2.95
5/7/2018,2.95
5/8/2018,2.97
5/9/2018,3
5/10/2018,2.97
5/11/2018,2.97
5/14/2018,3
5/15/2018,3.08
5/16/2018,3.09
5/17/2018,3.11
5/18/2018,3.06
5/21/2018,3.06
5/22/2018,3.06
5/23/2018,3.01
5/24/2018,2.98
5/25/2018,2.93
5/28/2018,.
5/29/2018,2.77
5/30/2018,2.84
5/31/2018,2.83
6/1/2018,2.89
6/4/2018,2.94
6/5/2018,2.92
6/6/2018,2.97
6/7/2018,2.93
6/8/2018,2.93
6/11/2018,2.96
6/12/2018,2.96
6/13/2018,2.98
6/14/2018,2.94
6/15/2018,2.93
6/18/2018,2.92
6/19/2018,2.89
6/20/2018,2.93
6/21/2018,2.9
6/22/2018,2.9
6/25/2018,2.87
6/26/2018,2.88
6/27/2018,2.83
6/28/2018,2.84
6/29/2018,2.85
7/2/2018,2.87
7/3/2018,2.83
7/4/2018,.
7/5/2018,2.84
7/6/2018,2.82
7/9/2018,2.86
7/10/2018,2.87
7/11/2018,2.85
7/12/2018,2.85
7/13/2018,2.83
7/16/2018,2.85
7/17/2018,2.86
7/18/2018,2.88
7/19/2018,2.84
7/20/2018,2.89
7/23/2018,2.96
7/24/2018,2.95
7/25/2018,2.94
7/26/2018,2.98
7/27/2018,2.96
7/30/2018,2.98
7/31/2018,2.96
8/1/2018,3
8/2/2018,2.98
8/3/2018,2.95
8/6/2018,2.94
8/7/2018,2.98
8/8/2018,2.96
8/9/2018,2.93
8/10/2018,2.87
8/13/2018,2.88
8/14/2018,2.89
8/15/2018,2.86
8/16/2018,2.87
8/17/2018,2.87
8/20/2018,2.82
8/21/2018,2.85
8/22/2018,2.82
8/23/2018,2.82
8/24/2018,2.82
8/27/2018,2.85
8/28/2018,2.88
8/29/2018,2.89
8/30/2018,2.86
8/31/2018,2.86
9/3/2018,.
9/4/2018,2.9
9/5/2018,2.9
9/6/2018,2.88
9/7/2018,2.94
9/10/2018,2.94
9/11/2018,2.98
9/12/2018,2.97
9/13/2018,2.97
9/14/2018,2.99
9/17/2018,2.99
9/18/2018,3.05
9/19/2018,3.08
9/20/2018,3.07
9/21/2018,3.07
9/24/2018,3.08
9/25/2018,3.1
9/26/2018,3.06
9/27/2018,3.06
9/28/2018,3.05
10/1/2018,3.09
10/2/2018,3.05
10/3/2018,3.15
10/4/2018,3.19
10/5/2018,3.23
10/8/2018,.
10/9/2018,3.21
10/10/2018,3.22
10/11/2018,3.14
10/12/2018,3.15
10/15/2018,3.16
10/16/2018,3.16
10/17/2018,3.19
10/18/2018,3.17
10/19/2018,3.2
10/22/2018,3.2
10/23/2018,3.17
10/24/2018,3.1
10/25/2018,3.14
10/26/2018,3.08
10/29/2018,3.08
10/30/2018,3.12
10/31/2018,3.15
11/1/2018,3.14
11/2/2018,3.22
11/5/2018,3.2
11/6/2018,3.22
11/7/2018,3.22
11/8/2018,3.24
11/9/2018,3.19
11/12/2018,.
11/13/2018,3.14
11/14/2018,3.12
11/15/2018,3.11
11/16/2018,3.08
11/19/2018,3.06
11/20/2018,3.06
11/21/2018,3.06
11/22/2018,.
11/23/2018,3.05
11/26/2018,3.07
11/27/2018,3.06
11/28/2018,3.06
11/29/2018,3.03
11/30/2018,3.01
12/3/2018,2.98
12/4/2018,2.91
12/5/2018,.
12/6/2018,2.87
12/7/2018,2.85
12/10/2018,2.85
12/11/2018,2.89
12/12/2018,2.91
12/13/2018,2.91
12/14/2018,2.89
12/17/2018,2.86
12/18/2018,2.82
12/19/2018,2.77
12/20/2018,2.79
12/21/2018,2.79
12/24/2018,2.74
12/25/2018,.
12/26/2018,2.81
12/27/2018,2.77
